0,1,2,3,4,5,6,7,8,reward_X,successor_O,game_over
 , , , ,O,O,X,X,X,1,"[18, 138, 556]",True
 , , , ,O,X,O,X,X,0,"[0, 19, 139, 557]",False
 , , , ,O,X,X,O,X,0,"[1, 20, 140, 558]",False
 , , , ,O,X,X,X,O,0,"[2, 21, 141, 559]",False
 , , , ,X,O,O,X,X,0,"[3, 22, 142, 560]",False
 , , , ,X,O,X,O,X,0,"[4, 23, 143, 561]",False
 , , , ,X,O,X,X,O,0,"[5, 24, 144, 562]",False
 , , , ,X,X,O,O,X,0,"[6, 25, 145, 563]",False
 , , , ,X,X,O,X,O,0,"[7, 26, 146, 564]",False
 , , , ,X,X,X,O,O,0,"[8, 27, 147, 565]",False
 , , ,O, ,O,X,X,X,1,"[28, 148, 566]",True
 , , ,O, ,X,O,X,X,0,"[0, 29, 149, 567]",False
 , , ,O, ,X,X,O,X,0,"[1, 30, 150, 568]",False
 , , ,O, ,X,X,X,O,0,"[2, 31, 151, 569]",False
 , , ,O,O, ,X,X,X,1,"[32, 152, 570]",True
 , , ,O,O,X, ,X,X,0,"[0, 33, 153, 571]",False
 , , ,O,O,X,X, ,X,0,"[1, 34, 154, 572]",False
 , , ,O,O,X,X,X, ,0,"[2, 35, 155, 573]",False
 , , ,O,X, ,O,X,X,0,"[3, 36, 156, 574]",False
 , , ,O,X, ,X,O,X,0,"[4, 37, 157, 575]",False
 , , ,O,X, ,X,X,O,0,"[5, 38, 158, 576]",False
 , , ,O,X,O, ,X,X,0,"[3, 39, 159, 577]",False
 , , ,O,X,O,X, ,X,0,"[4, 40, 160, 578]",False
 , , ,O,X,O,X,X, ,0,"[5, 41, 161, 579]",False
 , , ,O,X,X, ,O,X,0,"[6, 42, 162, 580]",False
 , , ,O,X,X, ,X,O,0,"[7, 43, 163, 581]",False
 , , ,O,X,X,O, ,X,0,"[6, 44, 164, 582]",False
 , , ,O,X,X,O,X, ,0,"[7, 45, 165, 583]",False
 , , ,O,X,X,X, ,O,0,"[8, 46, 166, 584]",False
