0,1,2,3,4,5,6,7,8,reward_X,successor_X,successor_O,game_over
 , , ,O,O,X,O,X,X,0,"[94, 102, 103, 363, 371, 372, 1128, 1136, 1137]","[19, 29, 33, 139, 149, 153, 557, 567, 571]",False
 , , ,O,O,X,X,O,X,0,"[95, 100, 105, 364, 369, 374, 1129, 1134, 1139]","[20, 30, 34, 140, 150, 154, 558, 568, 572]",False
 , , ,O,O,X,X,X,O,0,"[96, 101, 104, 365, 370, 373, 1130, 1135, 1138]","[21, 31, 35, 141, 151, 155, 559, 569, 573]",False
 , , ,O,X,O,O,X,X,0,"[88, 111, 112, 357, 380, 381, 1122, 1145, 1146]","[22, 36, 39, 142, 156, 159, 560, 574, 577]",False
 , , ,O,X,O,X,O,X,0,"[89, 109, 114, 358, 378, 383, 1123, 1143, 1148]","[23, 37, 40, 143, 157, 160, 561, 575, 578]",False
 , , ,O,X,O,X,X,O,0,"[90, 110, 113, 359, 379, 382, 1124, 1144, 1147]","[24, 38, 41, 144, 158, 161, 562, 576, 579]",False
 , , ,O,X,X,O,O,X,0,"[91, 106, 117, 360, 375, 386, 1125, 1140, 1151]","[25, 42, 44, 145, 162, 164, 563, 580, 582]",False
 , , ,O,X,X,O,X,O,0,"[92, 107, 116, 361, 376, 385, 1126, 1141, 1150]","[26, 43, 45, 146, 163, 165, 564, 581, 583]",False
 , , ,O,X,X,X,O,O,0,"[93, 108, 115, 362, 377, 384, 1127, 1142, 1149]","[27, 46, 47, 147, 166, 167, 565, 584, 585]",False
 , , ,X,O,O,O,X,X,0,"[78, 127, 128, 347, 396, 397, 1112, 1161, 1162]","[48, 54, 57, 168, 174, 177, 586, 592, 595]",False
 , , ,X,O,O,X,O,X,0,"[79, 125, 130, 348, 394, 399, 1113, 1159, 1164]","[49, 55, 58, 169, 175, 178, 587, 593, 596]",False
 , , ,X,O,O,X,X,O,0,"[80, 126, 129, 349, 395, 398, 1114, 1160, 1163]","[50, 56, 59, 170, 176, 179, 588, 594, 597]",False
 , , ,X,O,X,O,O,X,0,"[81, 122, 133, 350, 391, 402, 1115, 1156, 1167]","[51, 60, 62, 171, 180, 182, 589, 598, 600]",False
 , , ,X,O,X,O,X,O,0,"[82, 123, 132, 351, 392, 401, 1116, 1157, 1166]","[52, 61, 63, 172, 181, 183, 590, 599, 601]",False
 , , ,X,O,X,X,O,O,0,"[83, 124, 131, 352, 393, 400, 1117, 1158, 1165]","[53, 64, 65, 173, 184, 185, 591, 602, 603]",False
 , , ,X,X,O,O,O,X,0,"[84, 118, 137, 353, 387, 406, 1118, 1152, 1171]","[66, 69, 71, 186, 189, 191, 604, 607, 609]",False
 , , ,X,X,O,O,X,O,0,"[85, 119, 136, 354, 388, 405, 1119, 1153, 1170]","[67, 70, 72, 187, 190, 192, 605, 608, 610]",False
 , , ,X,X,O,X,O,O,0,"[86, 120, 135, 355, 389, 404, 1120, 1154, 1169]","[68, 73, 74, 188, 193, 194, 606, 611, 612]",False
 , ,O, ,O,O,X,X,X,1,"[57, 58, 59, 416, 417, 418, 1181, 1182, 1183]","[28, 32, 138, 198, 202, 556, 616, 620]",True
 , ,O, ,O,X,O,X,X,-1,"[54, 62, 63, 413, 421, 422, 1178, 1186, 1187]","[0, 29, 33, 139, 199, 203, 557, 617, 621]",True
 , ,O, ,O,X,X,O,X,0,"[55, 60, 65, 414, 419, 424, 1179, 1184, 1189]","[1, 30, 34, 140, 200, 204, 558, 618, 622]",False
