0,1,2,3,4,5,6,7,8,reward_X,successor_O,game_over
 , , , ,O,O,X,X,X,1.0,"[18, 138, 556]",True
 , , , ,O,X,O,X,X,-0.9999999999999999,"[0, 19, 139, 557]",False
 , , , ,O,X,X,O,X,-0.9999999999999999,"[1, 20, 140, 558]",False
 , , , ,O,X,X,X,O,-0.9999999999999999,"[2, 21, 141, 559]",False
 , , , ,X,O,O,X,X,-0.5192680975598458,"[3, 22, 142, 560]",False
 , , , ,X,O,X,O,X,0.3107250001253018,"[4, 23, 143, 561]",False
 , , , ,X,O,X,X,O,-0.999999999998155,"[5, 24, 144, 562]",False
 , , , ,X,X,O,O,X,0.0,"[6, 25, 145, 563]",False
 , , , ,X,X,O,X,O,0.201226446623468,"[7, 26, 146, 564]",False
 , , , ,X,X,X,O,O,0.6792226091035163,"[8, 27, 147, 565]",False
 , , ,O, ,O,X,X,X,1.0,"[28, 148, 566]",True
 , , ,O, ,X,O,X,X,-0.9999999999686346,"[0, 29, 149, 567]",False
 , , ,O, ,X,X,O,X,-0.1725361107168603,"[1, 30, 150, 568]",False
 , , ,O, ,X,X,X,O,-0.3951777787297823,"[2, 31, 151, 569]",False
 , , ,O,O, ,X,X,X,1.0,"[32, 152, 570]",True
 , , ,O,O,X, ,X,X,0.044479548815327966,"[0, 33, 153, 571]",False
 , , ,O,O,X,X, ,X,-0.30115773512136756,"[1, 34, 154, 572]",False
 , , ,O,O,X,X,X, ,-0.5471764480172958,"[2, 35, 155, 573]",False
 , , ,O,X, ,O,X,X,-0.999999999954278,"[3, 36, 156, 574]",False
 , , ,O,X, ,X,O,X,0.2343714282174454,"[4, 37, 157, 575]",False
 , , ,O,X, ,X,X,O,-0.45642575739951524,"[5, 38, 158, 576]",False
 , , ,O,X,O, ,X,X,0.0,"[3, 39, 159, 577]",False
 , , ,O,X,O,X, ,X,0.0,"[4, 40, 160, 578]",False
 , , ,O,X,O,X,X, ,0.0,"[5, 41, 161, 579]",False
 , , ,O,X,X, ,O,X,0.4622985515557454,"[6, 42, 162, 580]",False
 , , ,O,X,X, ,X,O,0.3247035426869181,"[7, 43, 163, 581]",False
 , , ,O,X,X,O, ,X,-0.9999999999999999,"[6, 44, 164, 582]",False
 , , ,O,X,X,O,X, ,-0.9999999999999999,"[7, 45, 165, 583]",False
 , , ,O,X,X,X, ,O,0.5203637188670241,"[8, 46, 166, 584]",False
 , , ,O,X,X,X,O, ,0.692969439579928,"[8, 47, 167, 585]",False
 , , ,X, ,O,O,X,X,-0.3524729659395189,"[9, 48, 168, 586]",False
 , , ,X, ,O,X,O,X,-0.2566731841005294,"[10, 49, 169, 587]",False
 , , ,X, ,O,X,X,O,-0.9999999999999999,"[11, 50, 170, 588]",False
 , , ,X, ,X,O,O,X,-0.6735619094859162,"[12, 51, 171, 589]",False
 , , ,X, ,X,O,X,O,-0.9687256865959117,"[13, 52, 172, 590]",False
 , , ,X, ,X,X,O,O,-0.513706332906989,"[14, 53, 173, 591]",False
 , , ,X,O, ,O,X,X,-0.9999999999999999,"[9, 54, 174, 592]",False
 , , ,X,O, ,X,O,X,-0.9999999999999999,"[10, 55, 175, 593]",False
